Platform,Category,Name,Language,Size,Characters,NonWhitespaceCharacters,Lines,Tokens,AverageTokenLength,SDTokenLength
kat,graph,10kindsofpeople,cpp,1420,1371,864,49,243,3.5555555555555554,3.6409062535455976
kat,graph,10kindsofpeople,py,1058,1022,628,36,178,3.5280898876404496,3.480664549965809
kat,graph,10kindsofpeople,java,2650,2579,1606,71,321,5.003115264797508,6.7719543165025495
kat,easy,acm,cpp,710,681,437,29,84,5.2023809523809526,5.647858666413085
kat,easy,acm,py,507,483,304,24,71,4.28169014084507,4.233145060426786
kat,easy,acm,java,1024,992,616,32,104,5.923076923076923,6.471284303576432
kat,math,ada,cpp,988,948,627,40,145,4.324137931034483,4.666492197067017
kat,math,ada,py,485,468,330,17,78,4.230769230769231,4.202420690547254
kat,math,ada,java,1300,1261,810,39,151,5.364238410596027,6.852234130762131
kat,greedy,airconditioned,cpp,650,623,421,27,78,5.397435897435898,5.20574044682729
kat,greedy,airconditioned,py,294,282,212,12,38,5.578947368421052,5.440745074907298
kat,greedy,airconditioned,java,1419,1373,843,46,150,5.62,6.5237511340531995
kat,math,aliennumbers,cpp,1102,1068,738,34,126,5.857142857142857,6.986517628363115
kat,math,aliennumbers,py,558,542,400,16,70,5.714285714285714,6.8844349902207345
kat,math,aliennumbers,java,1285,1254,831,31,135,6.155555555555556,8.888082467565699
kat,datastruct,alphabetspam,cpp,767,739,476,28,119,4.0,4.220611249811323
kat,datastruct,alphabetspam,py,319,301,193,18,60,3.216666666666667,3.7601463488768294
kat,datastruct,alphabetspam,java,895,866,528,29,102,5.176470588235294,6.578410179460186
kat,graph,amoebas,cpp,919,886,564,33,158,3.569620253164557,3.585830374224109
kat,graph,amoebas,py,500,484,309,16,91,3.3956043956043955,3.4217575759286203
kat,graph,amoebas,java,1251,1213,699,38,190,3.6789473684210527,4.166771928494955
kat,string,apaxiaaans,cpp,360,343,223,17,52,4.288461538461538,4.778778818745612
kat,string,apaxiaaans,py,132,125,87,7,22,3.9545454545454546,3.3162984633225485
kat,string,apaxiaaans,java,546,527,345,19,62,5.564516129032258,6.053371822196979
kat,easy,artichoke,cpp,693,670,466,23,132,3.5303030303030303,3.564968215952858
kat,easy,artichoke,py,324,313,223,11,74,3.0135135135135136,3.2456218909045758
kat,easy,artichoke,java,913,884,572,29,132,4.333333333333333,5.018540687902442
kat,datastruct,awkwardparty,cpp,466,444,291,22,57,5.105263157894737,5.174402003152206
kat,datastruct,awkwardparty,py,191,182,134,9,32,4.1875,4.475290583465124
kat,datastruct,awkwardparty,java,666,643,412,23,67,6.149253731343284,6.576481815606928
kat,datastruct,baloni,cpp,568,540,334,28,74,4.513513513513513,4.506443615697274
kat,datastruct,baloni,py,236,224,153,12,43,3.558139534883721,3.75627934950198
kat,datastruct,baloni,java,866,834,470,32,112,4.196428571428571,4.880258606562164
kat,easy,batterup,cpp,420,401,268,19,53,5.056603773584905,5.09303859105598
kat,easy,batterup,py,180,171,121,9,30,4.033333333333333,4.452688713755903
kat,easy,batterup,java,575,554,350,21,64,5.46875,6.0184076098857044
kat,adhoc,beatspread,cpp,424,405,243,19,66,3.6818181818181817,4.551108371879032
kat,adhoc,beatspread,py,204,197,133,7,36,3.6944444444444446,4.615622195757388
